ID,CITY,PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,LATITUDE,LONGITUDE,LINK
dd384e19-d555-449d-997c-6c2667f6e10b,Quito,345000,7,6,6,1159.0,-0.2006099,-78.51033439999999,https://www.plusvalia.com/propiedades/clasificado/veclcain-u-central-casa-rentera-con-piscina-y-discoteca-148207498.html?n_src=Listado&n_pg=171&n_pos=28
cf7f5c04-6054-435e-9402-50c5f4425ac8,Quito,55000,3,2,1,98.0,-0.2604675,-78.5122865,https://www.plusvalia.com/propiedades/clasificado/veclcain-proyecto-inmobiliario-ferroviaria-alta-147699627.html?n_src=Listado&n_pg=172&n_pos=2
807ac856-1d27-48d4-a030-6507ef26c8c3,Quito,269000,2,2,2,172.0,-0.181884168382008,-78.42194315656128,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-o-renta-cumbaya-cr-147699878.html?n_src=Listado&n_pg=172&n_pos=3
f3018415-203b-46d6-8a49-3caf048c519f,Quito,298000,3,3,2,427.0,-0.2242611367865,-78.3879425515455,https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-en-chiviqui-la-ceramica-147687841.html?n_src=Listado&n_pg=172&n_pos=4
d4754ac5-81a4-4564-8dca-ad2db12cc128,Quito,119000,3,4,2,280.0,-0.034264999999999,-78.4459336,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-en-la-pampa-2-pomasqui-dentro-de-147403907.html?n_src=Listado&n_pg=172&n_pos=5
bfc70231-9f7b-48fb-ace3-5f273850ed0d,Quito,464916,3,3,2,752.0,-0.1103805,-78.451453,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-en-puembo.-ubicada-dentro-de-147615886.html?n_src=Listado&n_pg=172&n_pos=10
1557ce0a-dbae-4847-b489-4937aac7ee8f,Quito,153700,3,2,2,129.0,-0.205471099999999,-78.3871737,https://www.plusvalia.com/propiedades/clasificado/veclcain-casas-en-conjunto-privado-tumbaco-proyecto-147623044.html?n_src=Listado&n_pg=172&n_pos=12
ff757bf4-8bb3-4905-94d9-c255afdadb49,Quito,151200,3,2,2,131.0,-0.205471099999999,-78.3871737,https://www.plusvalia.com/propiedades/clasificado/veclcain-casas-en-conjunto-privado-tumbaco-proyecto-147623051.html?n_src=Listado&n_pg=172&n_pos=13
ff67ebe4-eb68-4717-9152-fb09301d454a,Quito,90000,3,2,2,142.0,-0.321710409274999,-78.4742212195,https://www.plusvalia.com/propiedades/clasificado/veclcain-conocoto-en-venta-casa-2-plantas-sector-el-dean-147623678.html?n_src=Listado&n_pg=172&n_pos=14
424c44cb-c791-4bfd-8e23-a31912965a97,Quito,170000,3,2,2,180.0,-0.322566548805549,-78.44012544782407,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-moderna-3-dorm.-sta-clara-valle-de-los-chillos-147717919.html?n_src=Listado&n_pg=172&n_pos=16
d7cdf054-4fe9-4f87-abce-a53d2320124b,Quito,117000,3,2,1,149.0,-0.142342492009,-78.4652946865,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-amagasi-147725607.html?n_src=Listado&n_pg=172&n_pos=18
3d72113d-d155-491e-8001-7dfc8b3796cc,Quito,198500,4,3,2,334.0,-0.140436599999999,-78.4638166,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-3-habitaciones-y-terraza-147708704.html?n_src=Listado&n_pg=172&n_pos=20
